headword,CEFR,example_en,translation_ar,example_ar
commend,C2,The officer was commended for bravery.,أثني,وقد أثنى على الضابط لشجاعته.
flick,C2,He gave the switch a quick flick.,نقرة / رفّة,أعطى المفتاح بنقرة سريعة.
unenviable,C2,She was in the unenviable position of choosing sides.,لا تحسد عليه,لقد كانت في وضع لا تحسد عليه في اختيار الجانبين.
allege,C2,They allege the company violated regulations.,يزعم,ويزعمون أن الشركة انتهكت اللوائح.
bribery,C2,The politician was arrested for bribery.,رشوة,تم القبض على السياسي بتهمة الرشوة.
inclusive,C2,They offer an inclusive range of services.,شامل,أنها توفر مجموعة شاملة من الخدمات.
unconvincingly,C2,She spoke unconvincingly about her alibi.,بشكل غير مقنع,لقد تحدثت بشكل غير مقنع عن عذرها.
recharge,C2,They stopped to recharge their devices.,إعادة الشحن,توقفوا لإعادة شحن أجهزتهم.
facilitation,C2,Her facilitation of the meeting was exemplary.,تيسير,وكان تيسيرها للاجتماع مثاليا.
conditionally,C2,They agreed conditionally to the proposal.,بشروط,وقد وافقوا بشكل مشروط على الاقتراح.
supple,C2,The leather was soft and supple.,مطواع,كان الجلد ناعمًا ومرنًا.
manicure,C2,She booked a manicure for the evening.,مانيكير,لقد حجزت مانيكير للمساء.
pedicure,C2,He enjoyed a relaxing pedicure at the spa.,باديكير,لقد استمتع بباديكير مريح في المنتجع الصحي.
facial,C2,She received a facial treatment at the salon.,الوجه,تلقت علاج الوجه في الصالون.
bouquet,C2,He handed her a bouquet of red roses.,باقة,وقدم لها باقة من الورد الأحمر.
refurbish,C2,They plan to refurbish the old library.,تجديد,إنهم يخططون لتجديد المكتبة القديمة.
grounds,C2,The estate's grounds were meticulously maintained.,حدائق / أراضي,تمت صيانة أراضي الحوزة بدقة.
lethargy,C2,He struggled with lethargy all afternoon.,الخمول,كان يعاني من الخمول طوال فترة ما بعد الظهر.
stately,C2,They admired the stately architecture.,فخم,لقد أعجبوا بالهندسة المعمارية الفخمة.
conserve,C2,We must conserve water during the drought.,حفظ,يجب علينا الحفاظ على المياه أثناء الجفاف.
conservatory,C2,She practiced piano in the conservatory.,المعهد الموسيقي,مارست البيانو في المعهد الموسيقي.
disquieting,C2,The news was disquieting for the entire community.,مقلق,كان الخبر مقلقًا للمجتمع بأكمله.
fiercely,C2,They competed fiercely for the championship.,بضراوة,لقد تنافسوا بشدة على البطولة.
grapefruit,C2,She added grapefruit slices to her salad.,الجريب فروت,أضافت شرائح الجريب فروت إلى سلطتها.
exotically,C2,The flowers were arranged exotically.,بشكل غريب,تم ترتيب الزهور بشكل غريب.
flask,C2,He carried a flask of tea on the hike.,قارورة,كان يحمل قارورة من الشاي في الرحلة.
spacious,C2,The hotel room was bright and spacious.,فسيحة,غرفة الفندق كانت مشرقة وواسعة.
gourmet,C2,They dined at a gourmet restaurant.,الذواقة,تناولوا العشاء في مطعم للذواقة.
conjure,C2,He could conjure a smile even in adversity.,استحضار,يمكنه أن يستحضر الابتسامة حتى في الشدائد.
creamy,C2,She prepared a creamy mushroom soup.,دسم,أعدت حساء الفطر الكريمي.
sauna,C2,They relaxed in the sauna after the workout.,ساونا,لقد استرخوا في الساونا بعد التمرين.
remedial,C2,He attended remedial classes in math.,علاجي,التحق بفصول علاجية في الرياضيات.
posture,C2,She corrected her posture at the desk.,وضعية,قامت بتصحيح وضعها على المكتب.
sedately,C2,He walked sedately down the hall.,بهدوء,مشى بهدوء في القاعة.
clutch,C2,She would clutch her bag nervously.,القابض,كانت تمسك حقيبتها بتوتر.
staggering,C2,The cost was staggering beyond expectations.,مذهل,وكانت التكلفة مذهلة بما يتجاوز التوقعات.
dutifully,C2,She dutifully completed every assignment.,بإخلاص,لقد أكملت كل مهمة بإخلاص.
calorie,C2,They counted every calorie in their diet.,السعرات الحرارية,لقد حسبوا كل السعرات الحرارية في نظامهم الغذائي.
fabulously,C2,She decorated the room fabulously.,بشكل رائع,لقد زينت الغرفة بشكل رائع.
premises,C2,Smoking is prohibited on the premises.,المبنى / الموقع,التدخين ممنوع في المبنى.
eclectically,C2,They decorated eclectically with global artifacts.,انتقائيا,لقد تم تزيينها بشكل انتقائي بالتحف العالمية.
revere,C2,They revere their ancestors’ traditions.,يقدس,إنهم يقدسون تقاليد أجدادهم.
recognizable/recognisable,C2,His style is instantly recognisable.,يمكن التعرف عليه / يمكن التعرف عليه,يمكن التعرف على أسلوبه على الفور.
batter,C2,She prepared the batter for the pancakes.,الخليط,لقد أعدت الخليط للفطائر.
unreliably,C2,The service acted unreliably during peak hours.,بشكل غير موثوق,تصرفت الخدمة بشكل غير موثوق خلال ساعات الذروة.
waterfront,C2,They stayed at a hotel on the waterfront.,الواجهة البحرية,لقد أقاموا في فندق على الواجهة البحرية.
amply,C2,He was amply rewarded for his efforts.,بإسهاب,وقد حصل على مكافأة كبيرة على جهوده.
amplification,C2,The amplification improved the sound quality.,التضخيم,أدى التضخيم إلى تحسين جودة الصوت.
battered,C2,The old book was battered from years of use.,للضرب,تعرض الكتاب القديم للضرب من سنوات الاستخدام.
compliant,C2,The device is compliant with EU directives.,متوافق,الجهاز متوافق مع توجيهات الاتحاد الأوروبي.
blankness,C2,He stared with blankness at the screen.,الفراغ,كان يحدق بالفراغ في الشاشة.
exuberantly,C2,They cheered exuberantly at the finale.,بغزارة,لقد هتفوا بشدة في النهاية.
linear,C2,The model assumes a linear relationship.,خطي,يفترض النموذج وجود علاقة خطية.
flourish,C2,The city continued to flourish.,تزدهر,استمرت المدينة في الازدهار.
anchored,C2,The ship was securely anchored.,راسخة,وكانت السفينة راسية بشكل آمن.
domination,C2,Their domination of the market was clear.,هيمنة,وكانت هيمنتهم على السوق واضحة.
interjection,C2,His interjection changed the direction of the debate.,مداخلة,مداخلته غيرت اتجاه النقاش.
gush,C2,She would gush about her favorite artists.,تدفق,كانت تتدفق على فنانيها المفضلين.
gushing,C2,He spoke in gushing terms about the event.,يتدفق,لقد تحدث بعبارات متدفقة عن الحدث.
voracious,C2,He has a voracious appetite for knowledge.,شره,لديه شهية نهمة للمعرفة.
sketchbook,C2,He carries a sketchbook everywhere.,كراسة الرسم,يحمل كراسة الرسم في كل مكان.
prop,C2,They used a prop to enhance the scene.,دعم,لقد استخدموا دعامة لتعزيز المشهد.
imp,C2,The story featured a mischievous imp.,عفريت,ظهرت القصة عفريت مؤذ.
impish,C2,She had an impish grin on her face.,شرير,كان لديها ابتسامة شريرة على وجهها.
wickedly,C2,He laughed wickedly at the prank.,بشكل شرير,لقد ضحك بشكل شرير على المزحة.
macabre,C2,The play had a macabre ending.,مروع,وكانت المسرحية نهاية مروعة.
gusto,C2,They performed with great gusto.,ميل,لقد أدوا بحماس كبير.
tantamount,C2,His refusal was tantamount to an admission.,يعادل,وكان رفضه بمثابة القبول.
antics,C2,The performer’s antics delighted the audience.,الغريبة,أسعدت تصرفات الفنان الجمهور.
relapse,C2,After months of recovery, he suffered a relapse.,الانتكاس,وبعد أشهر من التعافي، تعرض لانتكاسة.
impede,C2,Heavy traffic can impede emergency vehicles.,إعاقة,حركة المرور الكثيفة يمكن أن تعيق مركبات الطوارئ.
impediment,C2,His speech impediment did not stop him from speaking.,عائق,إعاقته في النطق لم تمنعه ​​من الكلام.
taut,C2,The rope was pulled taut.,مشدود,تم سحب الحبل مشدودًا.
tautly,C2,The sails were tautly secured.,بإحكام,تم تأمين الأشرعة بإحكام.
jersey,C2,He wore his favorite team jersey.,جيرسي,ارتدى قميص فريقه المفضل.
startling,C2,The sudden noise was startling.,مذهل,كان الضجيج المفاجئ مذهلاً.
slack,C2,The rope went slack.,الركود,لقد ارتخى الحبل.
slackly,C2,He hung slackly from the beam.,بإهمال,لقد علق بشكل مترهل من العارضة.
unwaveringly,C2,He stood unwaveringly by her side.,بثبات,ووقف إلى جانبها بلا تردد.
removed,C2,The old bookshelf was removed yesterday.,تمت إزالته,تمت إزالة رف الكتب القديم أمس.
buffoon,C2,He acted like a buffoon at the party.,مهرج,لقد تصرف كمهرج في الحفلة.
beguiling,C2,Her smile was beguiling.,خادعة,كانت ابتسامتها خادعة.
blithely,C2,He blithely ignored the warnings.,باستهتار / دون مبالاة,لقد تجاهل التحذيرات بلا مبالاة.
stray,C2,A stray dog followed me home.,طائشة,تبعني كلب ضال إلى المنزل.
mythology,C2,Greek mythology is fascinating.,الأساطير,الأساطير اليونانية رائعة.
venerate,C2,They venerate their ancestors.,تبجيلا,إنهم يبجلون أسلافهم.
ethically,C2,The company acted ethically.,أخلاقيا,تصرفت الشركة بشكل أخلاقي.
heroine,C2,She played the heroine in the film.,بطلة,لعبت دور البطلة في الفيلم.
refreshing,C2,A cold drink is refreshing on hot days.,منعش,مشروب بارد منعش في الأيام الحارة.
zany,C2,His zany antics made everyone laugh.,مهرج,تصرفاته الغريبة جعلت الجميع يضحكون.
devotee,C2,He is a devotee of classical music.,المحب,وهو من محبي الموسيقى الكلاسيكية.
salve,C2,She applied a healing salve to the wound.,مرهم,وضعت مرهمًا شافيًا على الجرح.
salvation,C2,Finding the map was their salvation.,الخلاص,العثور على الخريطة كان خلاصهم.
salvage,C2,They managed to salvage some furniture.,إنقاذ,تمكنوا من إنقاذ بعض الأثاث.
staccato,C2,The music had a staccato rhythm.,متقطع,كان للموسيقى إيقاع متقطع.
verve,C2,She performed with great verve.,حيوية,لقد أدت بحيوية كبيرة.
motley,C2,They wore motley costumes.,متنوع,كانوا يرتدون أزياء ملونة.
preacher,C2,The preacher delivered an inspiring sermon.,واعظ,ألقى الواعظ خطبة ملهمة.
justly,C2,He was justly rewarded for his efforts.,بعدل,وقد حصل على مكافأة عادلة على جهوده.
wry,C2,She gave a wry smile.,ساخر,أعطت ابتسامة ساخرة.
wryly,C2,He commented wryly on the situation.,بسخرية,وعلق بسخرية على الوضع.
poetess,C2,The poetess published her first book.,شاعرة,نشرت الشاعرة كتابها الأول.
confide,C2,She decided to confide in her friend.,ثق,قررت أن تثق بصديقتها.
sentient,C2,They believed the statue was sentient.,حساس,لقد اعتقدوا أن التمثال كان واعيًا.
sentimentally,C2,He spoke sentimentally of his childhood.,عاطفيا,تحدث عاطفيا عن طفولته.
tangled,C2,Her hair was tangled after the wind.,متشابكة,كان شعرها متشابكًا بعد الريح.
untangle,C2,She tried to untangle the necklace.,فك,حاولت فك القلادة.
perceptive,C2,She is very perceptive about people.,الإدراك,إنها شديدة الإدراك تجاه الناس.
outset,C2,From the outset, they faced challenges.,البداية,منذ البداية واجهوا تحديات.
tycoon,C2,He became a business tycoon.,قطب,أصبح رجل أعمال.
engrossing,C2,The movie was completely engrossing.,مثيرة للاهتمام,كان الفيلم مثيرًا تمامًا.
detritus,C2,The shore was covered in detritus.,المخلفات,كان الشاطئ مغطى بالمخلفات.
detrimental,C2,Smoking is detrimental to health.,ضار,التدخين مضر بالصحة.
domestically,C2,The product is produced domestically.,محليا,يتم إنتاج المنتج محليا.
domesticate,C2,Humans domesticated animals thousands of years ago.,تدجين,قام الإنسان بتدجين الحيوانات منذ آلاف السنين.
eccentrically,C2,She dressed eccentrically for the event.,غريب الأطوار,لقد ارتدت ملابس غريبة الأطوار لهذا الحدث.
rendering,C2,The rendering of the design was impressive.,تجسيد / تصيير,كان تقديم التصميم مثيرًا للإعجاب.
pathos,C2,The speech was full of pathos.,عاطفة مؤثرة / إثارة الشجن,كان الخطاب مليئا بالشفقة.
tailor,C2,They tailor each suit by hand.,خياط,إنهم يصممون كل بدلة يدويًا.
personalize/personalise,C2,You can personalize your profile settings.,تخصيص/تخصيص,يمكنك تخصيص إعدادات ملف التعريف الخاص بك.
limitless,C2,Her potential is limitless.,لا حدود لها,إمكاناتها لا حدود لها.
apprentice,C2,He worked as an apprentice to a master craftsman.,المتدرب,كان يعمل كمتدرب لدى حرفي ماهر.
precision,C2,The surgeon performed the operation with precision.,دقة,أجرى الجراح العملية بدقة.
silhouette,C2,The silhouette of the mountain was stunning.,خيال,كانت الصورة الظلية للجبل مذهلة.
nondescript,C2,The building looked nondescript.,لا يوصف,بدا المبنى غير موصوف.
negligible,C2,The difference was negligible.,لا يكاد يذكر,وكان الفارق ضئيلا.
negligently,C2,They were negligently prepared.,بإهمال,لقد تم إعدادهم بإهمال.
principally,C2,The book is principally about love.,في المقام الأول,الكتاب يدور بشكل أساسي حول الحب.
altruism,C2,Altruism motivates many volunteers.,الإيثار,الإيثار يحفز العديد من المتطوعين.
voluntarily,C2,He voluntarily confessed his mistake.,طوعا,واعترف طوعا بخطئه.
reap,C2,Farmers hope to reap a good harvest.,جني,ويأمل المزارعون في جني محصول جيد.
paternal,C2,He took a paternal interest in the child's education.,الأبوي,لقد أبدى اهتمامًا أبويًا بتعليم الطفل.
maternalistic,C2,The policy was criticized as maternalistic.,أمومي بشكل متحكم,تم انتقاد هذه السياسة باعتبارها أمومية.
paternalistic,C2,The manager was paternalistic with his staff.,أبوي,وكان المدير أبويا مع موظفيه.
provisions,C2,They packed provisions for the journey.,أحكام,لقد حزموا المؤن للرحلة.
injustice,C2,They fought against social injustice.,ظلم,لقد ناضلوا ضد الظلم الاجتماعي.
impoverished,C2,The region was impoverished after the war.,فقير,وقد أصبحت المنطقة فقيرة بعد الحرب.
unsustainable,C2,The current practices are unsustainable.,غير مستدام,الممارسات الحالية غير مستدامة.
sustainably,C2,We must use resources sustainably.,على نحو مستدام,يجب علينا استخدام الموارد بشكل مستدام.
bypass,C2,They had to bypass the broken bridge.,تجاوز,كان عليهم تجاوز الجسر المكسور.
cynic,C2,He regarded the world as a cynic after his misfortunes.,ساخر,لقد اعتبر العالم ساخرًا بعد مصائبه.
cynicism,C2,His cynicism about politics grew over time.,السخرية,نمت سخريته من السياسة مع مرور الوقت.
sarcasm,C2,Her sarcasm was biting but humorous.,سخرية,كانت سخريتها لاذعة ولكنها فكاهية.
misplace,C2,I often misplace my keys in the morning.,في غير محله,كثيرًا ما أضع مفاتيحي في غير موضعها في الصباح.
symptomatic,C2,A fever is symptomatic of many illnesses.,أعراض,تعتبر الحمى من أعراض العديد من الأمراض.
degrading,C2,The treatment was degrading and inhumane.,مهينة,وكانت المعاملة مهينة وغير إنسانية.
hedgehog,C2,A hedgehog curled up into a ball.,القنفذ,القنفذ ملتوي في الكرة.
nocturnal,C2,Owls are nocturnal creatures.,ليلي,البوم مخلوقات ليلية.
hibernation,C2,Hibernation helps animals conserve energy.,الإسبات,السبات يساعد الحيوانات على الحفاظ على الطاقة.
latent,C2,Signs of latent talent may be hidden.,كامن,قد تكون مخفية علامات الموهبة الكامنة.
snooze,C2,I hit the snooze button twice today.,غفوة,لقد قمت بالضغط على زر الغفوة مرتين اليوم.
classy,C2,She wore a classy evening gown.,أنيق,ارتدت فستان سهرة أنيق.
wrench,C2,He used a wrench to fix the pipe.,وجع,لقد استخدم مفتاح الربط لإصلاح الأنبوب.
reminiscent,C2,The scent was reminiscent of spring.,يذكرنا,كانت الرائحة تذكرنا بالربيع.
intuitively,C2,Intuitively, she knew it was wrong.,بشكل حدسي,حدسيًا، عرفت أن ذلك كان خطأً.
marginal,C2,They lived on the margins of society.,هامشية,كانوا يعيشون على هامش المجتمع.
crude,C2,The crude sculpture lacked detail.,الخام,النحت الخام يفتقر إلى التفاصيل.
crudely,C2,He spoke crudely without manners.,بشكل فظ,لقد تحدث بفظاظة دون أخلاق.
strap,C2,Secure the strap before lifting.,حزام,قم بتأمين الحزام قبل الرفع.
strapping,C2,She was a strapping young athlete.,الربط,لقد كانت رياضية شابة قوية.
scoff,C2,He scoffed at the idea of failure.,يسخر,سخر من فكرة الفشل.
fiddly,C2,The fiddly mechanism was hard to use.,معقد / صعب التعامل معه,كان من الصعب استخدام الآلية المزعجة.
unmusically,C2,She sang unmusically yet cheerfully.,بطريقة غير موسيقية,لقد غنت بطريقة غير موسيقية ولكن بمرح.
repertory,C2,The repertory showcased classic plays.,ذخيرة مسرحية / برنامج عرض,عرض المرجع المسرحيات الكلاسيكية.
concerto,C2,She performed a concerto on the piano.,كونشيرتو,قامت بأداء كونشيرتو على البيانو.
premier,C2,They attended the premier of the film.,العرض الأول,لقد حضروا العرض الأول للفيلم.
acoustically,C2,The hall was acoustically perfect.,صوتيا,كانت القاعة مثالية من الناحية الصوتية.
compromised,C2,The agreement was compromised by leaks.,مساومة,وتعرض الاتفاق للخطر بسبب التسريبات.
daunt,C2,Fear can daunt even the bravest soul.,يخيف / يثبط العزيمة,الخوف يمكن أن يخيف حتى أشجع الروح.
daunting,C2,The challenge was daunting at first.,شاقة,كان التحدي شاقًا في البداية.
realist,C2,He is a realist, not an idealist.,الواقعي,إنه واقعي وليس مثاليا.
recess,C2,The kids played in the school recess.,العطلة,لعب الأطفال في عطلة المدرسة.
prolifically,C2,He writes prolifically every day.,بغزارة,يكتب بغزارة كل يوم.
proliferate,C2,Viruses proliferate in warm conditions.,تتكاثر,تتكاثر الفيروسات في الظروف الدافئة.
fragmentation,C2,Fragmentation of habitats threatens species.,التجزئة,تجزئة الموائل يهدد الأنواع.
astray,C2,The travelers went astray in the forest.,ضلال,ضل المسافرون في الغابة.
duration,C2,The duration of the flight is three hours.,مدة,مدة الرحلة ثلاث ساعات.
durable,C2,They bought a durable leather jacket.,دائم,لقد اشتروا سترة جلدية متينة.
naive,C2,He was naive about investment risks.,ساذج,لقد كان ساذجًا فيما يتعلق بمخاطر الاستثمار.
naively,C2,She naively trusted strangers.,بسذاجة,لقد وثقت بالغرباء بسذاجة.
naivety,C2,His naivety led to the mistake.,سذاجة,سذاجته أدت إلى الخطأ.
impervious,C2,The material is impervious to water.,منيع,المادة منيعة للماء.
ludicrously,C2,She laughed ludicrously at the sight.,بشكل مثير للسخرية,ضحكت بسخرية على المنظر.
cost-effective,C2,They offered cost-effective solutions.,فعالة من حيث التكلفة,لقد عرضوا حلولاً فعالة من حيث التكلفة.
gruesomely,C2,The scene was gruesomely realistic.,بشكل مروع,كان المشهد واقعيًا بشكل مروع.
envisage,C2,They envisage a future without war.,تصور,إنهم يتصورون مستقبلًا بدون حرب.
screenwriter,C2,He worked as a screenwriter in Hollywood.,كاتب السيناريو,عمل كاتب سيناريو في هوليوود.
mingle,C2,Guests began to mingle at the party.,مزج,بدأ الضيوف بالاختلاط في الحفلة.
churn,C2,The churn of the engine was loud.,زبد,كان صوت المحرك عاليا.
buffer,C2,They installed a buffer between lanes.,عازلة,قاموا بتركيب حاجز بين الممرات.
irate,C2,He became irate at the delay.,غاضب,أصبح غاضبا من التأخير.
irately,C2,She spoke irately about the service.,بغضب,تحدثت بغضب عن الخدمة.
docile,C2,The horse was docile and calm.,منصاع,كان الحصان مطيعًا وهادئًا.
fiend,C2,He was a fiend for fast cars.,شيطان,لقد كان مدمناً للسيارات السريعة.
fiendish,C2,The fiendish trap caught them off guard.,شيطاني,لقد فاجأهم الفخ الشيطاني.
transfix,C2,The scene would transfix any viewer.,يذهل / يشد الانتباه,المشهد سوف يذهل أي مشاهد.
gypsy,C2,A gypsy caravan traveled through town.,غجرية,سافرت قافلة غجرية عبر المدينة.
temperament,C2,Her temperament is gentle and kind.,مزاج,مزاجها لطيف ولطيف.
screenplay,C2,They watched the screenplay come to life.,سيناريو,لقد شاهدوا السيناريو وهو ينبض بالحياة.
disillusionment,C2,Disillusionment set in after the failure.,خيبة الأمل,خيبة الأمل بدأت بعد الفشل.
demise,C2,They mourned his sudden demise.,زوال,وحزنوا على رحيله المفاجئ.
raunchy,C2,The film was too raunchy for children.,بذيء,كان الفيلم بذيءًا جدًا بالنسبة للأطفال.
overdraft,C2,He faced an overdraft fee today.,السحب على المكشوف,لقد واجه رسوم السحب على المكشوف اليوم.
synopsis,C2,She read the synopsis before watching the film.,ملخص,قرأت الملخص قبل مشاهدة الفيلم.
renown,C2,The scientist gained renown for her groundbreaking research.,شهرة,اكتسبت العالمة شهرة لأبحاثها الرائدة.
contested,C2,The election results were hotly contested.,متنازع عليها,وكانت نتائج الانتخابات محل نزاع شديد.
verandah,C2,They relaxed on the verandah in the evening breeze.,شرفة,استرخوا على الشرفة في نسيم المساء.
occupational,C2,He suffered an occupational injury at the factory.,المهنية,تعرض لإصابة مهنية في المصنع.
ventilate,C2,Please ventilate the room before painting.,تهوية,يرجى تهوية الغرفة قبل الطلاء.
occupant,C2,Each occupant of the apartment must sign the lease.,الراكب,يجب على كل ساكن في الشقة التوقيع على عقد الإيجار.
radiator,C2,The radiator in the hallway was leaking water.,المشعاع,كان المبرد الموجود في الردهة يسرب الماء.
homely,C2,The cottage had a homely charm.,عائلي,كان للمنزل سحر منزلي.
bureaucratic,C2,She was frustrated by the bureaucratic procedures.,بيروقراطية,لقد شعرت بالإحباط بسبب الإجراءات البيروقراطية.
adjustable,C2,The chair has an adjustable backrest.,قابل للتعديل,يحتوي الكرسي على مسند ظهر قابل للتعديل.
muscular,C2,She has a strong, muscular build.,عضلي,لديها بنية عضلية قوية.
versatile,C2,A screwdriver is a versatile tool.,متنوع القدرات,مفك البراغي هو أداة متعددة الاستخدامات.
stimuli,C2,The brain responds to external stimuli.,المحفزات,يستجيب الدماغ للمؤثرات الخارجية.
uninspiring,C2,The lecture was uninspiring and put many to sleep.,غير ملهم,كانت المحاضرة غير ملهمة وتسببت في نوم الكثيرين.
mutually,C2,They reached a mutually beneficial agreement.,متبادل,لقد توصلوا إلى اتفاق متبادل المنفعة.
somber/sombre,C2,The mood at the funeral was somber.,كئيب / كئيب,كان المزاج في الجنازة كئيبًا.
clutter,C2,The desk was covered in clutter.,فوضى,كان المكتب مغطى بالفوضى.
dislodge,C2,He tried to dislodge the nail with a hammer.,طرد,حاول أن يخلع المسمار بمطرقة.
carpenter,C2,The carpenter built a beautiful wooden table.,النجار,قام النجار ببناء طاولة خشبية جميلة.
plummet,C2,Stock prices began to plummet after the announcement.,هبوط,وبدأت أسعار الأسهم في الانخفاض بعد هذا الإعلان.
circulate,C2,The air conditioner helps circulate cool air.,تعميم,يساعد مكيف الهواء على توزيع الهواء البارد.
demography,C2,The study of demography reveals population trends.,الديموغرافيا,تكشف دراسة الديموغرافيا عن الاتجاهات السكانية.
phenomenal,C2,She achieved phenomenal success with her startup.,هائل,لقد حققت نجاحًا هائلاً مع شركتها الناشئة.
prophet,C2,He was regarded as a prophet in his community.,النبي,كان يعتبر نبيا في مجتمعه.
paywall,C2,The article is behind a paywall.,جدار دفع / حجب الاشتراك,المقال وراء جدار الحماية.
firewall,C2,The company installed a new firewall for security.,جدار الحماية,قامت الشركة بتثبيت جدار حماية جديد للأمان.
invoice,C2,Please send the invoice by email.,فاتورة,يرجى إرسال الفاتورة عن طريق البريد الإلكتروني.
demolition,C2,The old stadium is scheduled for demolition.,هدم,ومن المقرر هدم الملعب القديم.
demo,C2,They attended a software demo yesterday.,تجريبي,لقد حضروا عرضًا تجريبيًا للبرنامج أمس.
gig,C2,She got a gig playing guitar at the café.,فلة موسيقية / عمل مؤقت,حصلت على حفلة موسيقية تعزف على الجيتار في المقهى.
socialization,C2,Socialization is important for child development.,التنشئة الاجتماعية,التنشئة الاجتماعية مهمة لنمو الطفل.
antiquity,C2,They studied artifacts from antiquity.,العصور القديمة,لقد درسوا القطع الأثرية من العصور القديمة.
antiquated,C2,The factory uses antiquated machinery.,عتيق,يستخدم المصنع آلات قديمة.
restoration,C2,The restoration of the painting took months.,استعادة / ترميم,استغرق ترميم اللوحة شهورا.
restorative,C2,The walk in the park was restorative., مريح / منعش,وكان المشي في الحديقة منعش.
rotate,C2,Rotate the handle clockwise to open the valve.,تناوب,قم بتدوير المقبض في اتجاه عقارب الساعة لفتح الصمام.
coupled,C2,The two systems are coupled for efficiency.,مقرونة,ويقترن النظامان لتحقيق الكفاءة.
itinerary,C2,The travel agent printed our itinerary.,خط سير الرحلة,قام وكيل السفر بطباعة خط سير الرحلة الخاص بنا.
resilient,C2,She proved resilient in the face of adversity.,الصمود,وأثبتت قدرتها على الصمود في مواجهة الشدائد.
resilience,C2,His resilience helped him overcome challenges.,مرن,قد ساعدته مرونته في التغلب على التحديات.
enterprising,C2,He is an enterprising young entrepreneur.,مغامر,إنه رجل أعمال شاب مغامر.
integral,C2,Trust is integral to any relationship.,أساسي,الثقة جزء لا يتجزأ من أي علاقة.
canoe,C2,They paddled the canoe across the lake.,زورق,لقد جدفوا بالقارب عبر البحيرة.
magnetism,C2,Magnetism is a fundamental force of nature.,المغناطيسية,المغناطيسية هي قوة أساسية في الطبيعة.
credibly,C2,He spoke credibly about his experience.,بمصداقية,لقد تحدث بمصداقية عن تجربته.
credential,C2,She presented her credentials at the interview.,بيانات الاعتماد,وقدمت أوراق اعتمادها في المقابلة.
acutely,C2,He was acutely aware of the risks.,بشكل حاد,وكان يدرك تماما المخاطر.
prohibitive,C2,The cost of the treatment was prohibitive.,باهظة,كانت تكلفة العلاج باهظة.
fissure,C2,A fissure formed in the rock face.,الشق,تشكل شق في وجه الصخرة.
pendulous,C2,The pendulous branches brushed the ground.,متدل,كانت الفروع المتدلية تلامس الأرض.
suspension,C2,The bridge uses a cable suspension design.,تعليق,يستخدم الجسر تصميم تعليق الكابل.
anthropologist,C2,The anthropologist conducted fieldwork in Africa.,عالم الأنثروبولوجيا,أجرى عالم الأنثروبولوجيا العمل الميداني في أفريقيا.
squander,C2,They squandered their inheritance on luxuries.,تبديد,لقد بذروا ميراثهم على الكماليات.
munch,C2,He likes to munch on carrots as a snack.,يقضم / يمضغ,يحب تناول الجزر كوجبة خفيفة.
adjoining,C2,We booked adjoining hotel rooms.,المجاورة,حجزنا غرف الفندق المجاورة.
wizened,C2,The wizened old man told stories of his youth.,ذابل,كان الرجل العجوز يروي قصص شبابه.
graft,C2,They performed a skin graft successfully.,الكسب غير المشروع,لقد أجروا عملية ترقيع الجلد بنجاح.
orchard,C2,They walked through the apple orchard.,بستان,مشوا عبر بستان التفاح.
seedling,C2,The seedling sprouted after a week.,الشتلات,ظهرت الشتلة بعد أسبوع.
tract,C2,They purchased a tract of land in the countryside.,المسالك,قاموا بشراء قطعة أرض في الريف.
folktale,C2,They listened to a folktale around the campfire.,الحكاية الشعبية,لقد استمعوا إلى حكاية شعبية حول نار المخيم.
sprout,C2,Seeds sprout when conditions are right.,برعم,تنبت البذور عندما تكون الظروف مناسبة.
hypocrisy,C2,He was accused of hypocrisy for his double standards.,نفاق,قد اتُهم بالنفاق بسبب معاييره المزدوجة.
midwife,C2,The experienced midwife guided the mother through a safe delivery.,قابلة,قامت القابلة ذات الخبرة بتوجيه الأم من خلال الولادة الآمنة.
commercially,C2,The new smartphone was commercially successful within weeks of launch.,تجاريا,حقق الهاتف الذكي الجديد نجاحًا تجاريًا في غضون أسابيع من إطلاقه.
uniformity,C2,The committee insisted on uniformity in all official documents.,التوحيد,وشددت اللجنة على التوحيد في جميع الوثائق الرسمية.
numb,C2,His fingers grew numb in the freezing wind.,مُخَدَّر,أصبحت أصابعه مخدرة في الريح المتجمدة.
tastebud,C2,Spicy food can overwhelm your tastebuds if you’re not used to it.,برعم التذوق,يمكن للطعام الحار أن يربك براعم التذوق لديك إذا لم تكن معتادًا عليه.
amateur,C2,He played the violin with the enthusiasm of an amateur musician.,الهاوي,كان عليها أن تتبع خطواتها لتجد المكان الذي أسقطت فيه المفاتيح.
retrace,C2,She had to retrace her steps to find where she dropped the keys.,تتبع مجددًا,كان عليها أن تتبع خطواتها لتجد المكان الذي أسقطت فيه المفاتيح.
insubordinate,C2,The officer was reprimanded for insubordinate behavior.,متمرد,تم توبيخ الضابط بسبب سلوكه المتمرد.
subordinate,C2,As a subordinate, she always followed the CEO’s instructions.,تابع,وباعتبارها مرؤوسة، كانت دائمًا تتبع تعليمات الرئيس التنفيذي.
primitively,C2,The hut was primitively constructed from branches and leaves.,بدائية,تم بناء الكوخ بشكل بدائي من الفروع والأوراق.
